Task 1- Release:  0.100, Completion:  0.187, Response: 0.087, WCRT: 0.087, Next Release:  0.400
Task 2- Release:  0.100, Completion:  0.273, Response: 0.173, WCRT: 0.173, Next Release:  0.500
Task 3- Release:  0.100, Completion:  0.360, Response: 0.260, WCRT: 0.260, Next Release:  0.700
Task 1- Release:  0.400, Completion:  0.487, Response: 0.087, WCRT: 0.087, Next Release:  0.700
Task 2- Release:  0.500, Completion:  0.586, Response: 0.086, WCRT: 0.173, Next Release:  0.900
Task 1- Release:  0.700, Completion:  0.787, Response: 0.087, WCRT: 0.087, Next Release:  1.000
Task 3- Release:  0.700, Completion:  0.873, Response: 0.173, WCRT: 0.260, Next Release:  1.300
Task 2- Release:  0.900, Completion:  0.987, Response: 0.087, WCRT: 0.173, Next Release:  1.300
Task 1- Release:  1.000, Completion:  1.089, Response: 0.089, WCRT: 0.089, Next Release:  1.300
Task 1- Release:  1.300, Completion:  1.388, Response: 0.088, WCRT: 0.089, Next Release:  1.600
Task 2- Release:  1.300, Completion:  1.475, Response: 0.175, WCRT: 0.175, Next Release:  1.700
Task 3- Release:  1.300, Completion:  1.562, Response: 0.262, WCRT: 0.262, Next Release:  1.900
Task 1- Release:  1.600, Completion:  1.690, Response: 0.090, WCRT: 0.090, Next Release:  1.900
Task 2- Release:  1.700, Completion:  1.789, Response: 0.089, WCRT: 0.175, Next Release:  2.100
Task 1- Release:  1.900, Completion:  1.989, Response: 0.089, WCRT: 0.090, Next Release:  2.200
Task 3- Release:  1.900, Completion:  2.082, Response: 0.182, WCRT: 0.262, Next Release:  2.500
Task 2- Release:  2.100, Completion:  2.192, Response: 0.092, WCRT: 0.175, Next Release:  2.500
Task 1- Release:  2.200, Completion:  2.291, Response: 0.091, WCRT: 0.091, Next Release:  2.500
Task 1- Release:  2.500, Completion:  2.589, Response: 0.089, WCRT: 0.091, Next Release:  2.800
Task 2- Release:  2.500, Completion:  2.679, Response: 0.179, WCRT: 0.179, Next Release:  2.900
Task 3- Release:  2.500, Completion:  2.767, Response: 0.267, WCRT: 0.267, Next Release:  3.100
Task 1- Release:  2.800, Completion:  2.894, Response: 0.094, WCRT: 0.094, Next Release:  3.100
Task 2- Release:  2.900, Completion:  2.989, Response: 0.089, WCRT: 0.179, Next Release:  3.300
Task 1- Release:  3.100, Completion:  3.197, Response: 0.097, WCRT: 0.097, Next Release:  3.400
Task 3- Release:  3.100, Completion:  3.285, Response: 0.185, WCRT: 0.267, Next Release:  3.700
Task 2- Release:  3.300, Completion:  3.389, Response: 0.089, WCRT: 0.179, Next Release:  3.700
Task 1- Release:  3.400, Completion:  3.489, Response: 0.089, WCRT: 0.097, Next Release:  3.700
Task 1- Release:  3.700, Completion:  3.794, Response: 0.094, WCRT: 0.097, Next Release:  4.000
Task 2- Release:  3.700, Completion:  3.880, Response: 0.180, WCRT: 0.180, Next Release:  4.100
Task 3- Release:  3.700, Completion:  3.968, Response: 0.268, WCRT: 0.268, Next Release:  4.300
Task 1- Release:  4.000, Completion:  4.089, Response: 0.089, WCRT: 0.097, Next Release:  4.300
Task 2- Release:  4.100, Completion:  4.189, Response: 0.089, WCRT: 0.180, Next Release:  4.500
Task 1- Release:  4.300, Completion:  4.390, Response: 0.090, WCRT: 0.097, Next Release:  4.600
Task 3- Release:  4.300, Completion:  4.478, Response: 0.178, WCRT: 0.268, Next Release:  4.900
Task 2- Release:  4.500, Completion:  4.588, Response: 0.088, WCRT: 0.180, Next Release:  4.900
Task 1- Release:  4.600, Completion:  4.687, Response: 0.087, WCRT: 0.097, Next Release:  4.900
Task 1- Release:  4.900, Completion:  4.988, Response: 0.088, WCRT: 0.097, Next Release:  5.200
Task 2- Release:  4.900, Completion:  5.076, Response: 0.176, WCRT: 0.180, Next Release:  5.300
Task 3- Release:  4.900, Completion:  5.165, Response: 0.265, WCRT: 0.268, Next Release:  5.500
