Calibrator=700
Task 1- Release:  0.100, Completion:  0.182, Response: 0.082, WCRT: 0.082, Next Release:  0.400
Task 2- Release:  0.100, Completion:  0.263, Response: 0.163, WCRT: 0.163, Next Release:  0.500
Task 3- Release:  0.100, Completion:  0.346, Response: 0.246, WCRT: 0.246, Next Release:  0.700
Task 1- Release:  0.400, Completion:  0.483, Response: 0.083, WCRT: 0.083, Next Release:  0.700
Task 2- Release:  0.500, Completion:  0.582, Response: 0.082, WCRT: 0.163, Next Release:  0.900
Task 4- Release:  0.100, Completion:  0.672, Response: 0.572, WCRT: 0.572, Next Release:  1.300
Task 1- Release:  0.700, Completion:  0.784, Response: 0.084, WCRT: 0.084, Next Release:  1.000
Task 3- Release:  0.700, Completion:  0.865, Response: 0.165, WCRT: 0.246, Next Release:  1.300
Task 2- Release:  0.900, Completion:  0.984, Response: 0.084, WCRT: 0.163, Next Release:  1.300
Task 1- Release:  1.000, Completion:  1.083, Response: 0.083, WCRT: 0.084, Next Release:  1.300
Task 1- Release:  1.300, Completion:  1.383, Response: 0.083, WCRT: 0.084, Next Release:  1.600
Task 2- Release:  1.300, Completion:  1.466, Response: 0.166, WCRT: 0.166, Next Release:  1.700
Task 3- Release:  1.300, Completion:  1.547, Response: 0.247, WCRT: 0.247, Next Release:  1.900
Task 1- Release:  1.600, Completion:  1.683, Response: 0.083, WCRT: 0.084, Next Release:  1.900
Task 2- Release:  1.700, Completion:  1.784, Response: 0.084, WCRT: 0.166, Next Release:  2.100
Task 4- Release:  1.300, Completion:  1.878, Response: 0.578, WCRT: 0.578, Next Release:  2.500
Task 1- Release:  1.900, Completion:  1.983, Response: 0.083, WCRT: 0.084, Next Release:  2.200
Task 3- Release:  1.900, Completion:  2.065, Response: 0.165, WCRT: 0.247, Next Release:  2.500
Task 2- Release:  2.100, Completion:  2.183, Response: 0.083, WCRT: 0.166, Next Release:  2.500
Task 1- Release:  2.200, Completion:  2.282, Response: 0.082, WCRT: 0.084, Next Release:  2.500
Task 1- Release:  2.500, Completion:  2.582, Response: 0.082, WCRT: 0.084, Next Release:  2.800
Task 2- Release:  2.500, Completion:  2.663, Response: 0.163, WCRT: 0.166, Next Release:  2.900
Task 3- Release:  2.500, Completion:  2.745, Response: 0.245, WCRT: 0.247, Next Release:  3.100
Task 1- Release:  2.800, Completion:  2.882, Response: 0.082, WCRT: 0.084, Next Release:  3.100
Task 2- Release:  2.900, Completion:  2.982, Response: 0.082, WCRT: 0.166, Next Release:  3.300
Task 4- Release:  2.500, Completion:  3.072, Response: 0.572, WCRT: 0.578, Next Release:  3.700
Task 1- Release:  3.100, Completion:  3.182, Response: 0.082, WCRT: 0.084, Next Release:  3.400
Task 3- Release:  3.100, Completion:  3.264, Response: 0.164, WCRT: 0.247, Next Release:  3.700
Task 2- Release:  3.300, Completion:  3.383, Response: 0.083, WCRT: 0.166, Next Release:  3.700
Task 1- Release:  3.400, Completion:  3.482, Response: 0.082, WCRT: 0.084, Next Release:  3.700
Task 1- Release:  3.700, Completion:  3.788, Response: 0.088, WCRT: 0.088, Next Release:  4.000
Task 2- Release:  3.700, Completion:  3.870, Response: 0.170, WCRT: 0.170, Next Release:  4.100
Task 3- Release:  3.700, Completion:  3.952, Response: 0.252, WCRT: 0.252, Next Release:  4.300
Task 1- Release:  4.000, Completion:  4.082, Response: 0.082, WCRT: 0.088, Next Release:  4.300
Task 2- Release:  4.100, Completion:  4.182, Response: 0.082, WCRT: 0.170, Next Release:  4.500
Task 4- Release:  3.700, Completion:  4.281, Response: 0.581, WCRT: 0.581, Next Release:  4.900


Calibrator=750
Task 1- Release:  0.100, Completion:  0.189, Response: 0.089, WCRT: 0.089, Next Release:  0.400
Task 2- Release:  0.100, Completion:  0.275, Response: 0.175, WCRT: 0.175, Next Release:  0.500
Task 3- Release:  0.100, Completion:  0.361, Response: 0.261, WCRT: 0.261, Next Release:  0.700
Task 1- Release:  0.400, Completion:  0.489, Response: 0.089, WCRT: 0.089, Next Release:  0.700
Task 2- Release:  0.500, Completion:  0.587, Response: 0.087, WCRT: 0.175, Next Release:  0.900
Task 1- Release:  0.700, Completion:  0.789, Response: 0.089, WCRT: 0.089, Next Release:  1.000
Task 3- Release:  0.700, Completion:  0.882, Response: 0.182, WCRT: 0.261, Next Release:  1.300
Task 4- Release:  0.100, Completion:  0.896, Response: 0.796, WCRT: 0.796, Next Release:  1.300
Task 2- Release:  0.900, Completion:  0.990, Response: 0.090, WCRT: 0.175, Next Release:  1.300
Task 1- Release:  1.000, Completion:  1.088, Response: 0.088, WCRT: 0.089, Next Release:  1.300
Task 1- Release:  1.300, Completion:  1.387, Response: 0.087, WCRT: 0.089, Next Release:  1.600
Task 2- Release:  1.300, Completion:  1.475, Response: 0.175, WCRT: 0.175, Next Release:  1.700
Task 3- Release:  1.300, Completion:  1.563, Response: 0.263, WCRT: 0.263, Next Release:  1.900
Task 1- Release:  1.600, Completion:  1.688, Response: 0.088, WCRT: 0.089, Next Release:  1.900
Task 2- Release:  1.700, Completion:  1.786, Response: 0.086, WCRT: 0.175, Next Release:  2.100
Task 1- Release:  1.900, Completion:  1.989, Response: 0.089, WCRT: 0.089, Next Release:  2.200
Task 3- Release:  1.900, Completion:  2.084, Response: 0.184, WCRT: 0.263, Next Release:  2.500
Task 4- Release:  1.300, Completion:  2.094, Response: 0.794, WCRT: 0.796, Next Release:  2.500
Task 2- Release:  2.100, Completion:  2.188, Response: 0.088, WCRT: 0.175, Next Release:  2.500
Task 1- Release:  2.200, Completion:  2.289, Response: 0.089, WCRT: 0.089, Next Release:  2.500
Task 1- Release:  2.500, Completion:  2.586, Response: 0.086, WCRT: 0.089, Next Release:  2.800
Task 2- Release:  2.500, Completion:  2.673, Response: 0.173, WCRT: 0.175, Next Release:  2.900
Task 3- Release:  2.500, Completion:  2.762, Response: 0.262, WCRT: 0.263, Next Release:  3.100
Task 1- Release:  2.800, Completion:  2.888, Response: 0.088, WCRT: 0.089, Next Release:  3.100
Task 2- Release:  2.900, Completion:  2.988, Response: 0.088, WCRT: 0.175, Next Release:  3.300
Task 1- Release:  3.100, Completion:  3.187, Response: 0.087, WCRT: 0.089, Next Release:  3.400
Task 3- Release:  3.100, Completion:  3.276, Response: 0.176, WCRT: 0.263, Next Release:  3.700
Task 4- Release:  2.500, Completion:  3.290, Response: 0.790, WCRT: 0.796, Next Release:  3.700
Task 2- Release:  3.300, Completion:  3.388, Response: 0.088, WCRT: 0.175, Next Release:  3.700
Task 1- Release:  3.400, Completion:  3.489, Response: 0.089, WCRT: 0.089, Next Release:  3.700
Task 1- Release:  3.700, Completion:  3.797, Response: 0.097, WCRT: 0.097, Next Release:  4.000
Task 2- Release:  3.700, Completion:  3.884, Response: 0.184, WCRT: 0.184, Next Release:  4.100
Task 3- Release:  3.700, Completion:  3.971, Response: 0.271, WCRT: 0.271, Next Release:  4.300
Task 1- Release:  4.000, Completion:  4.088, Response: 0.088, WCRT: 0.097, Next Release:  4.300
Task 2- Release:  4.100, Completion:  4.189, Response: 0.089, WCRT: 0.184, Next Release:  4.500
Task 1- Release:  4.300, Completion:  4.388, Response: 0.088, WCRT: 0.097, Next Release:  4.600
Task 3- Release:  4.300, Completion:  4.476, Response: 0.176, WCRT: 0.271, Next Release:  4.900
Task 2- Release:  4.500, Completion:  4.592, Response: 0.092, WCRT: 0.184, Next Release:  4.900
Task 4- Release:  3.700, Completion:  4.592, Response: 0.892, WCRT: 0.892, Next Release:  4.900


Calibrator=800
Task 1- Release:  0.100, Completion:  0.194, Response: 0.094, WCRT: 0.094, Next Release:  0.400
Task 2- Release:  0.100, Completion:  0.288, Response: 0.188, WCRT: 0.188, Next Release:  0.500
Task 3- Release:  0.100, Completion:  0.384, Response: 0.284, WCRT: 0.284, Next Release:  0.700
Task 1- Release:  0.400, Completion:  0.493, Response: 0.093, WCRT: 0.094, Next Release:  0.700
Task 2- Release:  0.500, Completion:  0.594, Response: 0.094, WCRT: 0.188, Next Release:  0.900
Task 1- Release:  0.700, Completion:  0.794, Response: 0.094, WCRT: 0.094, Next Release:  1.000
Task 3- Release:  0.700, Completion:  0.885, Response: 0.185, WCRT: 0.284, Next Release:  1.300
Task 2- Release:  0.900, Completion:  0.997, Response: 0.097, WCRT: 0.188, Next Release:  1.300
Task 1- Release:  1.000, Completion:  1.095, Response: 0.095, WCRT: 0.095, Next Release:  1.300
Task 4- Release:  0.100, Completion:  1.133, Response: 1.033, WCRT: 1.033, Next Release:  1.300
Task 1- Release:  1.300, Completion:  1.394, Response: 0.094, WCRT: 0.095, Next Release:  1.600
Task 2- Release:  1.300, Completion:  1.488, Response: 0.188, WCRT: 0.188, Next Release:  1.700
Task 3- Release:  1.300, Completion:  1.582, Response: 0.282, WCRT: 0.284, Next Release:  1.900
Task 1- Release:  1.600, Completion:  1.695, Response: 0.095, WCRT: 0.095, Next Release:  1.900
Task 2- Release:  1.700, Completion:  1.795, Response: 0.095, WCRT: 0.188, Next Release:  2.100
Task 1- Release:  1.900, Completion:  1.993, Response: 0.093, WCRT: 0.095, Next Release:  2.200
Task 3- Release:  1.900, Completion:  2.083, Response: 0.183, WCRT: 0.284, Next Release:  2.500
Task 2- Release:  2.100, Completion:  2.193, Response: 0.093, WCRT: 0.188, Next Release:  2.500
Task 1- Release:  2.200, Completion:  2.296, Response: 0.096, WCRT: 0.096, Next Release:  2.500
Task 4- Release:  1.300, Completion:  2.332, Response: 1.032, WCRT: 1.033, Next Release:  2.500
